"table_name","column_name","data_type","is_nullable","column_default","character_maximum_length"
alert_config,id,integer,NO,nextval('alert_config_id_seq'::regclass),
alert_config,name,character varying,NO,,100
alert_config,description,text,YES,,
alert_config,check_type,character varying,NO,,30
alert_config,table_name,character varying,YES,,100
alert_config,date_column,character varying,YES,,100
alert_config,severity,character varying,NO,,20
alert_config,is_active,boolean,NO,,
alert_config,created_at,timestamp with time zone,YES,,
alert_config,updated_at,timestamp with time zone,YES,,
alert_config,created_by,character varying,YES,,50
allocation_rule,id,integer,NO,nextval('allocation_rule_id_seq'::regclass),
allocation_rule,name,character varying,NO,,100
allocation_rule,description,text,YES,,
allocation_rule,source_table,character varying,YES,,50
allocation_rule,lookup_table,character varying,YES,,50
allocation_rule,output_table,character varying,YES,,50
allocation_rule,join_key,character varying,YES,,50
allocation_rule,filter_json,jsonb,YES,,
allocation_rule,source_dim_json,jsonb,YES,,
allocation_rule,output_dim_json,jsonb,YES,,
allocation_rule,credit_dim_json,jsonb,YES,,
allocation_rule,allocation_method,character varying,YES,,20
allocation_rule,distribution_driver,character varying,YES,,100
allocation_rule,entry_mode,character varying,YES,,20
allocation_rule,generate_offset,boolean,YES,,
allocation_rule,offset_account,character varying,YES,,50
allocation_rule,is_active,boolean,YES,,
allocation_rule,status,character varying,YES,,20
allocation_rule,created_by,character varying,YES,,50
allocation_rule,created_at,timestamp with time zone,YES,,
allocation_rule,updated_at,timestamp with time zone,YES,,
allocation_rule,balance_column,character varying,YES,,50
allocation_rule,aggregate_source,boolean,NO,false,
allocation_rule,fixed_ratio,numeric,YES,,
batch_definition,id,integer,NO,nextval('batch_definition_id_seq'::regclass),
batch_definition,name,character varying,NO,,100
batch_definition,description,text,YES,,
batch_definition,continue_on_error,boolean,YES,,
batch_definition,is_active,boolean,YES,,
batch_definition,created_by,character varying,YES,,50
batch_definition,created_at,timestamp with time zone,YES,,
batch_definition,updated_at,timestamp with time zone,YES,,
batch_execution,id,character varying,NO,,36
batch_execution,definition_id,integer,NO,,
batch_execution,as_of_date,date,NO,,
batch_execution,status,character varying,YES,,20
batch_execution,started_at,timestamp with time zone,YES,,
batch_execution,completed_at,timestamp with time zone,YES,,
batch_execution,run_by,character varying,NO,,50
batch_execution,error_message,text,YES,,
