Table Name,Column Name,Column Type,Constraints
group,id,SERIAL,PRIMARY KEY
group,name,VARCHAR(80),NOT NULL UNIQUE
group,description,VARCHAR(200),
group,can_make,BOOLEAN,NOT NULL DEFAULT FALSE
group,can_check,BOOLEAN,NOT NULL DEFAULT FALSE
group,is_admin,BOOLEAN,NOT NULL DEFAULT FALSE
group,is_active,BOOLEAN,NOT NULL DEFAULT TRUE
group,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
user,id,SERIAL,PRIMARY KEY
user,username,VARCHAR(80),NOT NULL UNIQUE
user,display_name,VARCHAR(120),
user,password_hash,VARCHAR(256),NOT NULL
user,is_active,BOOLEAN,NOT NULL DEFAULT TRUE
user,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
user_group,user_id,INTEGER,NOT NULL REFERENCES "user"("id")
user_group,group_id,INTEGER,NOT NULL REFERENCES "group"("id")
user_group,,PK, (user_id, group_id)
dim_org_unit,org_unit_id,VARCHAR(20),PRIMARY KEY
dim_org_unit,name,VARCHAR(100),NOT NULL
dim_org_unit,parent_id,VARCHAR(20),REFERENCES dim_org_unit(org_unit_id)
dim_org_unit,is_leaf,BOOLEAN,NOT NULL DEFAULT TRUE
dim_org_unit,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
dim_product,product_code,VARCHAR(20),PRIMARY KEY
dim_product,name,VARCHAR(100),NOT NULL
dim_product,category,VARCHAR(50),
dim_product,is_leaf,BOOLEAN,NOT NULL DEFAULT TRUE
dim_product,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
dim_customer,customer_id,VARCHAR(20),PRIMARY KEY
dim_customer,name,VARCHAR(100),NOT NULL
dim_customer,segment,VARCHAR(50),
dim_customer,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
dim_account,account_id,VARCHAR(20),PRIMARY KEY
dim_account,customer_id,VARCHAR(20),NOT NULL REFERENCES dim_customer(customer_id)
dim_account,product_code,VARCHAR(20),NOT NULL REFERENCES dim_product(product_code)
dim_account,org_unit_id,VARCHAR(20),NOT NULL REFERENCES dim_org_unit(org_unit_id)
dim_account,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
stg_inst_data,id,SERIAL,PRIMARY KEY
stg_inst_data,upload_batch_id,VARCHAR(36),NOT NULL
stg_inst_data,as_of_date,DATE,NOT NULL
stg_inst_data,transaction_number,VARCHAR(100),
stg_inst_data,account_id,VARCHAR(20),NOT NULL
stg_inst_data,customer_id,VARCHAR(20),NOT NULL
stg_inst_data,product_code,VARCHAR(20),NOT NULL
stg_inst_data,org_unit_id,VARCHAR(20),NOT NULL
stg_inst_data,balance,NUMERIC(18,6),NOT NULL
stg_inst_data,interest_income,NUMERIC(18,6),NOT NULL DEFAULT 0
stg_inst_data,lp_rate,NUMERIC(18,6),
stg_inst_data,lp_amount,NUMERIC(18,6),
stg_inst_data,clp_rate,NUMERIC(18,6),
stg_inst_data,clp_amount,NUMERIC(18,6),
stg_inst_data,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
proc_inst_data,id,SERIAL,PRIMARY KEY
proc_inst_data,upload_batch_id,VARCHAR(36),NOT NULL
proc_inst_data,as_of_date,DATE,NOT NULL
proc_inst_data,transaction_number,VARCHAR(100),
proc_inst_data,account_id,VARCHAR(20),NOT NULL
proc_inst_data,customer_id,VARCHAR(20),NOT NULL
proc_inst_data,product_code,VARCHAR(20),NOT NULL
proc_inst_data,org_unit_id,VARCHAR(20),NOT NULL
proc_inst_data,balance,NUMERIC(18,6),NOT NULL
proc_inst_data,interest_income,NUMERIC(18,6),NOT NULL DEFAULT 0
proc_inst_data,base_rate,NUMERIC(18,6),
proc_inst_data,cost_of_fund,NUMERIC(18,6),
proc_inst_data,lp_rate,NUMERIC(18,6),
proc_inst_data,lp_amount,NUMERIC(18,6),
proc_inst_data,clp_rate,NUMERIC(18,6),
proc_inst_data,clp_amount,NUMERIC(18,6),
proc_inst_data,validated_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
stg_gl_data,id,SERIAL,PRIMARY KEY
stg_gl_data,upload_batch_id,VARCHAR(36),NOT NULL
stg_gl_data,as_of_date,DATE,NOT NULL
stg_gl_data,gl_account,VARCHAR(20),NOT NULL
stg_gl_data,org_unit_id,VARCHAR(20),NOT NULL
stg_gl_data,debit,NUMERIC(18,6),NOT NULL DEFAULT 0
stg_gl_data,credit,NUMERIC(18,6),NOT NULL DEFAULT 0
stg_gl_data,balance,NUMERIC(18,6),NOT NULL
stg_gl_data,financial_element,VARCHAR(20),
stg_gl_data,created_at,TIMESTAMPTZ,NOT NULL DEFAULT NOW()
